ID,temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,pluie_intensite_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
40,21.0,61.1,17.0,28.6,0.1,2170-02-01,1,0.86,278.75,74.58,0
41,21.0,61.1,17.0,28.6,0.1,2170-02-01,3,0.78,273.85,650.6,3
42,21.0,61.1,17.0,28.6,0.1,2170-02-01,4,0.76,156.4,34.32,0
43,21.0,61.1,17.0,28.6,0.1,2170-02-01,2,0.41,151.16,498.3,2
44,21.0,61.1,17.0,28.6,0.1,2170-02-01,5,0.57,169.22,561.59,2
45,11.6,67.1,13.1,21.1,0.0,2171-02-01,1,0.58,205.21,793.52,0
46,11.6,67.1,13.1,21.1,0.0,2171-02-01,3,0.81,211.04,591.95,0
47,11.6,67.1,13.1,21.1,0.0,2171-02-01,4,0.6,156.33,560.85,0
48,11.6,67.1,13.1,21.1,0.0,2171-02-01,2,0.6,129.39,218.6,2
49,11.6,67.1,13.1,21.1,0.0,2171-02-01,5,0.44,126.79,415.79,2
50,20.1,63.9,13.9,30.0,0.0,2170-03-01,1,0.91,297.92,526.23,1
51,20.1,63.9,13.9,30.0,0.0,2170-03-01,3,0.67,278.41,378.13,0
52,20.1,63.9,13.9,30.0,0.0,2170-03-01,4,0.84,238.09,373.95,1
53,20.1,63.9,13.9,30.0,0.0,2170-03-01,2,0.62,128.98,289.43,2
54,20.1,63.9,13.9,30.0,0.0,2170-03-01,5,0.68,136.43,513.82,2
55,21.3,51.0,9.3,20.3,0.0,2171-03-01,1,0.97,193.82,210.73,0
56,21.3,51.0,9.3,20.3,0.0,2171-03-01,3,0.63,187.54,31.42,0
57,21.3,51.0,9.3,20.3,0.0,2171-03-01,4,0.76,224.48,411.26,0
58,21.3,51.0,9.3,20.3,0.0,2171-03-01,2,0.56,186.21,809.82,2
59,21.3,51.0,9.3,20.3,0.0,2171-03-01,5,0.66,195.06,161.87,0
60,26.0,41.0,7.3,22.1,0.0,2170-04-01,1,0.6,278.82,267.69,0
61,26.0,41.0,7.3,22.1,0.0,2170-04-01,3,0.93,179.43,18.79,2
62,26.0,41.0,7.3,22.1,0.0,2170-04-01,4,1.0,241.61,0.71,1
63,26.0,41.0,7.3,22.1,0.0,2170-04-01,2,0.38,148.84,524.11,2
64,26.0,41.0,7.3,22.1,0.0,2170-04-01,5,0.66,172.55,893.32,0
65,8.8,57.5,14.3,30.8,0.0,2171-04-01,1,0.73,295.61,35.24,1
66,8.8,57.5,14.3,30.8,0.0,2171-04-01,3,0.98,161.41,699.64,2
67,8.8,57.5,14.3,30.8,0.0,2171-04-01,4,0.61,169.47,683.74,0
68,8.8,57.5,14.3,30.8,0.0,2171-04-01,2,0.65,107.74,798.98,0
69,8.8,57.5,14.3,30.8,0.0,2171-04-01,5,0.58,157.65,317.39,2
70,19.2,68.2,7.4,14.4,0.1,2170-05-01,1,0.85,156.78,109.61,0
71,19.2,68.2,7.4,14.4,0.1,2170-05-01,3,0.52,156.65,229.35,2
72,19.2,68.2,7.4,14.4,0.1,2170-05-01,4,0.94,200.52,254.95,0
73,19.2,68.2,7.4,14.4,0.1,2170-05-01,2,0.59,142.59,590.7,0
74,19.2,68.2,7.4,14.4,0.1,2170-05-01,5,0.68,184.55,846.31,2
75,23.6,56.4,6.0,9.7,0.0,2171-05-01,1,0.56,186.69,150.17,0
76,23.6,56.4,6.0,9.7,0.0,2171-05-01,3,0.53,241.04,649.54,2
77,23.6,56.4,6.0,9.7,0.0,2171-05-01,4,0.64,216.22,294.49,1
78,23.6,56.4,6.0,9.7,0.0,2171-05-01,2,0.65,137.07,503.6,2
79,23.6,56.4,6.0,9.7,0.0,2171-05-01,5,0.6,175.59,402.26,0
80,30.4,48.1,4.4,18.3,0.0,2170-06-01,1,0.88,233.2,721.29,1
81,30.4,48.1,4.4,18.3,0.0,2170-06-01,3,0.95,243.81,838.15,3
82,30.4,48.1,4.4,18.3,0.0,2170-06-01,4,0.61,278.58,781.49,1
83,30.4,48.1,4.4,18.3,0.0,2170-06-01,2,0.6,103.26,918.31,2
84,30.4,48.1,4.4,18.3,0.0,2170-06-01,5,0.37,107.38,796.22,2
85,35.2,36.5,2.8,9.4,0.0,2171-06-01,1,0.6,174.39,93.03,0
86,35.2,36.5,2.8,9.4,0.0,2171-06-01,3,0.72,212.31,234.98,0
87,35.2,36.5,2.8,9.4,0.0,2171-06-01,4,0.53,285.99,562.62,0
88,35.2,36.5,2.8,9.4,0.0,2171-06-01,2,0.36,136.58,319.46,0
89,35.2,36.5,2.8,9.4,0.0,2171-06-01,5,0.66,174.42,700.81,0
90,38.2,37.3,2.4,7.9,0.0,2170-07-01,1,0.99,281.67,188.49,1
91,38.2,37.3,2.4,7.9,0.0,2170-07-01,3,0.51,213.83,168.29,2
92,38.2,37.3,2.4,7.9,0.0,2170-07-01,4,0.82,191.08,498.32,0
93,38.2,37.3,2.4,7.9,0.0,2170-07-01,2,0.52,113.55,994.06,2
94,38.2,37.3,2.4,7.9,0.0,2170-07-01,5,0.61,162.76,929.16,0
95,31.3,36.0,3.0,8.0,0.0,2171-07-01,1,0.89,211.16,756.71,1
96,31.3,36.0,3.0,8.0,0.0,2171-07-01,3,0.9,212.35,130.38,3
97,31.3,36.0,3.0,8.0,0.0,2171-07-01,4,0.62,172.18,710.5,0
98,31.3,36.0,3.0,8.0,0.0,2171-07-01,2,0.51,197.15,402.24,0
99,31.3,36.0,3.0,8.0,0.0,2171-07-01,5,0.66,136.38,540.74,2
100,30.5,52.9,5.8,11.9,0.0,2170-08-01,1,0.59,285.21,603.98,0
101,30.5,52.9,5.8,11.9,0.0,2170-08-01,3,0.68,207.63,864.5,1
102,30.5,52.9,5.8,11.9,0.0,2170-08-01,4,0.65,213.17,618.76,1
103,30.5,52.9,5.8,11.9,0.0,2170-08-01,2,0.62,145.56,258.6,2
104,30.5,52.9,5.8,11.9,0.0,2170-08-01,5,0.48,117.72,617.35,2
105,38.8,30.8,4.5,10.5,0.0,2171-08-01,1,0.92,237.53,657.35,0
106,38.8,30.8,4.5,10.5,0.0,2171-08-01,3,0.56,235.04,140.65,2
107,38.8,30.8,4.5,10.5,0.0,2171-08-01,4,0.9,293.63,792.74,1
108,38.8,30.8,4.5,10.5,0.0,2171-08-01,2,0.65,192.87,637.69,2
109,38.8,30.8,4.5,10.5,0.0,2171-08-01,5,0.39,161.27,949.54,2
110,38.4,44.1,3.6,8.6,0.0,2171-09-01,1,0.53,195.8,397.31,0
111,38.4,44.1,3.6,8.6,0.0,2171-09-01,3,0.66,278.31,372.13,0
112,38.4,44.1,3.6,8.6,0.0,2171-09-01,4,0.54,176.4,306.25,0
113,38.4,44.1,3.6,8.6,0.0,2171-09-01,2,0.7,125.27,642.95,0
114,38.4,44.1,3.6,8.6,0.0,2171-09-01,5,0.42,117.66,968.12,2
115,10.9,67.6,5.8,8.7,0.0,2170-01-10,1,0.81,246.86,564.1,1
116,10.9,67.6,5.8,8.7,0.0,2170-01-10,3,0.97,175.68,788.14,2
117,10.9,67.6,5.8,8.7,0.0,2170-01-10,4,0.97,151.91,523.93,0
118,10.9,67.6,5.8,8.7,0.0,2170-01-10,2,0.58,162.13,95.15,2
119,10.9,67.6,5.8,8.7,0.0,2170-01-10,5,0.38,122.53,35.19,0
120,15.1,72.4,3.8,6.2,0.1,2171-01-10,1,0.63,170.28,234.08,0
121,15.1,72.4,3.8,6.2,0.1,2171-01-10,3,0.74,251.25,508.86,3
122,15.1,72.4,3.8,6.2,0.1,2171-01-10,4,0.66,180.66,174.02,0
123,15.1,72.4,3.8,6.2,0.1,2171-01-10,2,0.35,149.51,344.57,0
124,15.1,72.4,3.8,6.2,0.1,2171-01-10,5,0.61,126.5,352.66,2
125,25.1,65.4,3.8,5.4,0.0,2170-10-10,1,0.56,265.23,353.38,0
126,25.1,65.4,3.8,5.4,0.0,2170-10-10,3,0.97,216.97,24.95,0
127,25.1,65.4,3.8,5.4,0.0,2170-10-10,4,0.74,168.95,318.99,0
128,25.1,65.4,3.8,5.4,0.0,2170-10-10,2,0.48,139.53,963.05,0
129,25.1,65.4,3.8,5.4,0.0,2170-10-10,5,0.32,174.59,619.31,2
130,26.9,67.8,4.4,11.4,0.0,2171-10-10,1,0.56,219.88,746.49,0
131,26.9,67.8,4.4,11.4,0.0,2171-10-10,3,0.7,226.45,794.82,3
132,26.9,67.8,4.4,11.4,0.0,2171-10-10,4,0.88,172.46,174.69,0
133,26.9,67.8,4.4,11.4,0.0,2171-10-10,2,0.64,119.7,298.1,2
134,26.9,67.8,4.4,11.4,0.0,2171-10-10,5,0.35,113.01,597.67,2
135,9.7,76.4,2.9,3.2,0.0,2170-11-10,1,0.62,240.09,527.97,1
136,9.7,76.4,2.9,3.2,0.0,2170-11-10,3,0.74,169.88,307.59,0
137,9.7,76.4,2.9,3.2,0.0,2170-11-10,4,0.81,174.08,399.6,0
138,9.7,76.4,2.9,3.2,0.0,2170-11-10,2,0.34,195.95,670.43,2
139,9.7,76.4,2.9,3.2,0.0,2170-11-10,5,0.63,144.87,432.37,2
140,20.6,64.3,3.1,2.4,0.0,2171-11-10,1,0.89,240.61,685.55,1
141,20.6,64.3,3.1,2.4,0.0,2171-11-10,3,0.53,299.06,504.99,0
142,20.6,64.3,3.1,2.4,0.0,2171-11-10,4,0.76,165.75,163.66,0
143,20.6,64.3,3.1,2.4,0.0,2171-11-10,2,0.5,108.47,695.67,2
144,20.6,64.3,3.1,2.4,0.0,2171-11-10,5,0.43,164.19,21.97,2
145,11.5,75.9,13.4,23.7,0.1,2170-12-10,1,0.68,156.42,469.34,0
146,11.5,75.9,13.4,23.7,0.1,2170-12-10,3,0.76,229.78,194.39,0
147,11.5,75.9,13.4,23.7,0.1,2170-12-10,4,0.53,181.72,762.5,0
148,11.5,75.9,13.4,23.7,0.1,2170-12-10,2,0.34,167.93,256.51,2
149,11.5,75.9,13.4,23.7,0.1,2170-12-10,5,0.44,195.62,696.93,2
150,7.6,59.9,6.5,11.1,0.0,2171-12-10,1,0.69,280.05,60.43,0
151,7.6,59.9,6.5,11.1,0.0,2171-12-10,3,0.72,241.66,887.1,3
152,7.6,59.9,6.5,11.1,0.0,2171-12-10,4,0.94,292.94,637.81,1
153,7.6,59.9,6.5,11.1,0.0,2171-12-10,2,0.6,167.96,55.89,2
154,7.6,59.9,6.5,11.1,0.0,2171-12-10,5,0.51,190.47,832.48,2
155,12.8,66.3,11.0,16.9,0.0,2170-02-10,1,0.83,150.79,781.18,0
156,12.8,66.3,11.0,16.9,0.0,2170-02-10,3,0.81,183.65,219.02,2
157,12.8,66.3,11.0,16.9,0.0,2170-02-10,4,0.53,254.49,591.5,0
158,12.8,66.3,11.0,16.9,0.0,2170-02-10,2,0.58,171.6,659.51,2
159,12.8,66.3,11.0,16.9,0.0,2170-02-10,5,0.57,148.96,503.43,0
160,14.0,64.7,3.1,3.5,0.0,2171-02-10,1,0.87,288.7,751.78,1
161,14.0,64.7,3.1,3.5,0.0,2171-02-10,3,0.64,157.34,203.18,2
162,14.0,64.7,3.1,3.5,0.0,2171-02-10,4,0.69,277.96,644.89,1
163,14.0,64.7,3.1,3.5,0.0,2171-02-10,2,0.57,196.6,779.03,2
164,14.0,64.7,3.1,3.5,0.0,2171-02-10,5,0.49,145.25,9.13,2
165,15.7,56.2,3.2,4.1,0.0,2170-03-10,1,0.64,231.36,496.93,1
166,15.7,56.2,3.2,4.1,0.0,2170-03-10,3,1.0,152.92,228.0,2
167,15.7,56.2,3.2,4.1,0.0,2170-03-10,4,0.59,240.78,55.96,0
168,15.7,56.2,3.2,4.1,0.0,2170-03-10,2,0.36,124.0,183.29,0
169,15.7,56.2,3.2,4.1,0.0,2170-03-10,5,0.36,109.3,796.37,2
170,21.9,56.9,7.6,17.8,0.0,2171-03-10,1,0.73,192.54,643.56,0
171,21.9,56.9,7.6,17.8,0.0,2171-03-10,3,0.72,270.43,238.41,3
172,21.9,56.9,7.6,17.8,0.0,2171-03-10,4,1.0,191.53,660.78,0
173,21.9,56.9,7.6,17.8,0.0,2171-03-10,2,0.52,180.68,375.92,2
174,21.9,56.9,7.6,17.8,0.0,2171-03-10,5,0.44,143.66,846.76,2
175,19.6,57.2,8.3,21.6,0.0,2170-04-10,1,0.82,152.31,51.04,0
176,19.6,57.2,8.3,21.6,0.0,2170-04-10,3,0.65,237.45,831.52,0
177,19.6,57.2,8.3,21.6,0.0,2170-04-10,4,0.64,152.67,626.99,0
178,19.6,57.2,8.3,21.6,0.0,2170-04-10,2,0.68,171.93,404.84,2
179,19.6,57.2,8.3,21.6,0.0,2170-04-10,5,0.43,171.03,588.02,2
180,23.1,43.9,9.2,21.6,0.0,2171-04-10,1,0.84,285.93,282.9,1
181,23.1,43.9,9.2,21.6,0.0,2171-04-10,3,0.52,282.86,823.35,0
182,23.1,43.9,9.2,21.6,0.0,2171-04-10,4,0.71,203.75,403.51,1
183,23.1,43.9,9.2,21.6,0.0,2171-04-10,2,0.48,105.17,396.91,2
184,23.1,43.9,9.2,21.6,0.0,2171-04-10,5,0.66,182.81,460.08,0
185,21.9,56.3,6.2,9.7,0.0,2170-05-10,1,0.98,156.16,775.69,0
186,21.9,56.3,6.2,9.7,0.0,2170-05-10,3,0.78,183.22,851.89,0
187,21.9,56.3,6.2,9.7,0.0,2170-05-10,4,1.0,288.5,249.25,1
188,21.9,56.3,6.2,9.7,0.0,2170-05-10,2,0.43,163.75,31.69,2
189,21.9,56.3,6.2,9.7,0.0,2170-05-10,5,0.4,123.55,6.39,2
190,29.6,49.4,4.0,6.3,0.0,2171-05-10,1,0.72,231.43,748.79,1
191,29.6,49.4,4.0,6.3,0.0,2171-05-10,3,0.71,175.79,177.22,2
192,29.6,49.4,4.0,6.3,0.0,2171-05-10,4,0.66,246.5,657.77,0
193,29.6,49.4,4.0,6.3,0.0,2171-05-10,2,0.52,148.22,667.33,2
194,29.6,49.4,4.0,6.3,0.0,2171-05-10,5,0.54,170.19,151.76,2
195,35.8,40.9,3.2,9.6,0.0,2170-06-10,1,0.51,188.33,367.75,0
196,35.8,40.9,3.2,9.6,0.0,2170-06-10,3,0.9,267.67,309.28,3
197,35.8,40.9,3.2,9.6,0.0,2170-06-10,4,0.96,194.49,388.56,0
198,35.8,40.9,3.2,9.6,0.0,2170-06-10,2,0.45,192.24,454.63,2
199,35.8,40.9,3.2,9.6,0.0,2170-06-10,5,0.41,189.5,854.12,0
200,34.9,37.0,2.9,6.6,0.0,2171-06-10,1,0.51,242.76,361.67,0
201,34.9,37.0,2.9,6.6,0.0,2171-06-10,3,0.75,211.08,145.12,3
202,34.9,37.0,2.9,6.6,0.0,2171-06-10,4,0.85,150.16,157.76,0
203,34.9,37.0,2.9,6.6,0.0,2171-06-10,2,0.31,165.87,546.28,2
204,34.9,37.0,2.9,6.6,0.0,2171-06-10,5,0.43,163.58,666.93,2
205,32.1,44.3,6.6,11.5,0.0,2170-07-10,1,0.63,297.16,45.55,1
206,32.1,44.3,6.6,11.5,0.0,2170-07-10,3,0.73,153.15,776.89,2
207,32.1,44.3,6.6,11.5,0.0,2170-07-10,4,0.79,282.53,523.0,0
208,32.1,44.3,6.6,11.5,0.0,2170-07-10,2,0.64,109.75,92.52,2
209,32.1,44.3,6.6,11.5,0.0,2170-07-10,5,0.39,129.46,989.91,2
210,40.0,31.6,2.5,6.6,0.0,2171-07-10,1,0.58,246.04,350.52,0
211,40.0,31.6,2.5,6.6,0.0,2171-07-10,3,0.93,192.75,875.49,2
212,40.0,31.6,2.5,6.6,0.0,2171-07-10,4,0.53,151.85,314.73,0
213,40.0,31.6,2.5,6.6,0.0,2171-07-10,2,0.45,122.78,165.9,0
214,40.0,31.6,2.5,6.6,0.0,2171-07-10,5,0.62,127.74,39.16,2
215,46.3,21.4,3.8,10.3,0.0,2171-08-10,1,0.78,156.51,104.5,0
216,46.3,21.4,3.8,10.3,0.0,2171-08-10,3,0.63,226.81,590.88,3
217,46.3,21.4,3.8,10.3,0.0,2171-08-10,4,0.91,157.17,653.76,0
218,46.3,21.4,3.8,10.3,0.0,2171-08-10,2,0.39,115.98,400.7,2
219,46.3,21.4,3.8,10.3,0.0,2171-08-10,5,0.34,133.5,857.68,2
220,36.0,49.9,2.8,5.3,0.0,2171-09-10,1,0.55,225.77,479.68,0
221,36.0,49.9,2.8,5.3,0.0,2171-09-10,3,0.76,153.73,423.28,2
222,36.0,49.9,2.8,5.3,0.0,2171-09-10,4,0.53,158.25,114.7,0
223,36.0,49.9,2.8,5.3,0.0,2171-09-10,2,0.57,141.0,687.24,2
224,36.0,49.9,2.8,5.3,0.0,2171-09-10,5,0.63,125.61,392.21,2
225,6.4,69.4,7.3,12.9,0.0,2170-01-11,1,0.72,269.53,385.91,0
226,6.4,69.4,7.3,12.9,0.0,2170-01-11,3,0.85,151.32,112.31,0
227,6.4,69.4,7.3,12.9,0.0,2170-01-11,4,0.96,298.06,162.92,1
228,6.4,69.4,7.3,12.9,0.0,2170-01-11,2,0.49,153.48,467.47,2
229,6.4,69.4,7.3,12.9,0.0,2170-01-11,5,0.37,109.78,229.14,0
230,13.7,60.2,7.8,10.8,0.0,2171-01-11,1,0.79,180.49,379.13,0
231,13.7,60.2,7.8,10.8,0.0,2171-01-11,3,0.63,178.72,630.39,2
232,13.7,60.2,7.8,10.8,0.0,2171-01-11,4,0.99,272.34,550.24,1
233,13.7,60.2,7.8,10.8,0.0,2171-01-11,2,0.46,155.85,651.47,2
234,13.7,60.2,7.8,10.8,0.0,2171-01-11,5,0.31,192.23,448.38,2
235,19.0,58.7,3.6,5.6,0.0,2170-10-11,1,0.88,189.34,445.19,0
236,19.0,58.7,3.6,5.6,0.0,2170-10-11,3,0.94,294.85,384.25,0
237,19.0,58.7,3.6,5.6,0.0,2170-10-11,4,0.62,295.52,392.09,1
238,19.0,58.7,3.6,5.6,0.0,2170-10-11,2,0.59,104.21,682.07,2
239,19.0,58.7,3.6,5.6,0.0,2170-10-11,5,0.67,124.21,308.78,2
240,25.6,64.2,2.9,3.2,0.0,2171-10-11,1,0.69,220.32,521.71,1
241,25.6,64.2,2.9,3.2,0.0,2171-10-11,3,0.76,164.16,940.24,0
242,25.6,64.2,2.9,3.2,0.0,2171-10-11,4,0.63,193.93,7.67,0
243,25.6,64.2,2.9,3.2,0.0,2171-10-11,2,0.5,170.47,386.41,0
244,25.6,64.2,2.9,3.2,0.0,2171-10-11,5,0.31,130.94,872.78,2
245,19.2,76.1,2.6,2.8,0.0,2170-11-11,1,0.67,269.44,453.4,1
246,19.2,76.1,2.6,2.8,0.0,2170-11-11,3,0.75,263.04,291.45,3
247,19.2,76.1,2.6,2.8,0.0,2170-11-11,4,0.83,241.75,397.04,1
248,19.2,76.1,2.6,2.8,0.0,2170-11-11,2,0.52,193.65,821.54,0
249,19.2,76.1,2.6,2.8,0.0,2170-11-11,5,0.56,142.31,604.27,2
250,25.8,67.0,6.3,20.7,0.0,2171-11-11,1,0.58,248.55,524.68,0
251,25.8,67.0,6.3,20.7,0.0,2171-11-11,3,0.71,290.04,305.56,3
252,25.8,67.0,6.3,20.7,0.0,2171-11-11,4,0.76,161.52,671.2,0
253,25.8,67.0,6.3,20.7,0.0,2171-11-11,2,0.42,198.8,661.41,2
254,25.8,67.0,6.3,20.7,0.0,2171-11-11,5,0.64,155.56,859.15,2
255,13.0,64.9,3.1,3.1,0.0,2170-12-11,1,0.56,169.17,157.65,0
256,13.0,64.9,3.1,3.1,0.0,2170-12-11,3,0.76,262.11,273.11,1
257,13.0,64.9,3.1,3.1,0.0,2170-12-11,4,0.88,153.54,9.43,0
258,13.0,64.9,3.1,3.1,0.0,2170-12-11,2,0.65,129.17,526.96,2
259,13.0,64.9,3.1,3.1,0.0,2170-12-11,5,0.62,134.96,933.92,2
260,5.4,60.7,3.2,2.5,0.0,2171-12-11,1,0.51,258.38,470.63,0
261,5.4,60.7,3.2,2.5,0.0,2171-12-11,3,0.7,286.98,262.25,3
262,5.4,60.7,3.2,2.5,0.0,2171-12-11,4,0.84,216.7,492.64,0
263,5.4,60.7,3.2,2.5,0.0,2171-12-11,2,0.48,111.35,907.78,2
264,5.4,60.7,3.2,2.5,0.0,2171-12-11,5,0.37,197.73,547.52,0
265,16.5,68.9,4.2,6.5,0.0,2171-02-11,1,0.58,219.52,253.12,0
266,16.5,68.9,4.2,6.5,0.0,2171-02-11,3,0.84,289.81,717.94,1
267,16.5,68.9,4.2,6.5,0.0,2171-02-11,4,0.55,291.7,90.11,0
268,16.5,68.9,4.2,6.5,0.0,2171-02-11,2,0.69,122.39,505.03,0
269,16.5,68.9,4.2,6.5,0.0,2171-02-11,5,0.33,180.32,915.34,0
270,23.0,54.5,6.5,15.0,0.0,2170-03-11,1,0.85,254.19,569.04,1
271,23.0,54.5,6.5,15.0,0.0,2170-03-11,3,0.7,246.6,888.53,3
272,23.0,54.5,6.5,15.0,0.0,2170-03-11,4,0.59,252.63,640.41,0
273,23.0,54.5,6.5,15.0,0.0,2170-03-11,2,0.46,120.52,997.41,2
274,23.0,54.5,6.5,15.0,0.0,2170-03-11,5,0.51,165.46,318.93,2
275,19.6,57.9,10.1,23.2,0.0,2171-03-11,1,0.9,272.4,695.57,1
276,19.6,57.9,10.1,23.2,0.0,2171-03-11,3,0.7,230.42,185.32,0
277,19.6,57.9,10.1,23.2,0.0,2171-03-11,4,0.63,230.07,558.09,1
278,19.6,57.9,10.1,23.2,0.0,2171-03-11,2,0.69,118.25,312.93,2
279,19.6,57.9,10.1,23.2,0.0,2171-03-11,5,0.5,170.88,939.18,2
280,11.6,64.6,9.5,16.8,0.0,2170-04-11,1,0.83,209.61,306.66,0
281,11.6,64.6,9.5,16.8,0.0,2170-04-11,3,0.57,250.86,5.0,2
282,11.6,64.6,9.5,16.8,0.0,2170-04-11,4,0.83,173.38,329.82,0
283,11.6,64.6,9.5,16.8,0.0,2170-04-11,2,0.63,165.22,423.02,2
284,11.6,64.6,9.5,16.8,0.0,2170-04-11,5,0.57,160.67,260.23,0
285,23.2,60.3,14.2,35.5,0.0,2171-04-11,1,0.83,214.89,708.88,1
286,23.2,60.3,14.2,35.5,0.0,2171-04-11,3,0.95,228.37,467.59,0
287,23.2,60.3,14.2,35.5,0.0,2171-04-11,4,0.57,225.2,550.86,0
288,23.2,60.3,14.2,35.5,0.0,2171-04-11,2,0.62,159.98,924.68,0
289,23.2,60.3,14.2,35.5,0.0,2171-04-11,5,0.37,129.14,269.34,2
290,15.3,59.8,9.8,16.7,0.0,2170-05-11,1,0.73,294.53,783.36,0
291,15.3,59.8,9.8,16.7,0.0,2170-05-11,3,0.76,279.34,803.82,0
292,15.3,59.8,9.8,16.7,0.0,2170-05-11,4,0.92,293.22,680.01,1
293,15.3,59.8,9.8,16.7,0.0,2170-05-11,2,0.53,137.85,881.95,2
294,15.3,59.8,9.8,16.7,0.0,2170-05-11,5,0.57,166.68,444.93,2
295,29.5,35.7,5.2,13.3,0.0,2171-05-11,1,0.59,187.56,584.15,0
296,29.5,35.7,5.2,13.3,0.0,2171-05-11,3,0.91,206.89,882.37,3
297,29.5,35.7,5.2,13.3,0.0,2171-05-11,4,0.59,186.77,103.2,0
298,29.5,35.7,5.2,13.3,0.0,2171-05-11,2,0.51,139.85,334.66,0
299,29.5,35.7,5.2,13.3,0.0,2171-05-11,5,0.65,101.52,428.38,0
300,35.8,42.9,4.7,11.7,0.0,2170-06-11,1,0.52,188.95,509.63,0
301,35.8,42.9,4.7,11.7,0.0,2170-06-11,3,0.74,191.0,373.65,2
302,35.8,42.9,4.7,11.7,0.0,2170-06-11,4,0.59,200.57,272.84,0
303,35.8,42.9,4.7,11.7,0.0,2170-06-11,2,0.63,171.96,692.17,2
304,35.8,42.9,4.7,11.7,0.0,2170-06-11,5,0.52,119.42,178.85,2
305,39.9,35.0,2.9,7.0,0.0,2171-06-11,1,0.51,199.88,251.35,0
306,39.9,35.0,2.9,7.0,0.0,2171-06-11,3,0.92,242.31,172.39,0
